Model,Metric,Mean,Median,Std,Min,Max
Plain AS,Sharpe,0.0238931389,0.0221526298,0.0098799776,0.0090401471,0.0456499239
Plain AS,Sortino,0.0106634451,0.0109244682,0.0030101113,0.0051255204,0.016470337
Plain AS,Max DD,0.0450959348,0.03597125,0.0302384252,0.01508975,0.13996475
Plain AS,P&L-to-MAP,0.3599962409,0.3601555151,0.0085279624,0.3487441517,0.3902754262
Plain AS,Final PnL,1.03416075,1.03268,0.0225618526,1.005819,1.119375
Plain AS,Mean |q|,2.8752134852,2.8719471669,0.0235118239,2.8213367707,2.9149313077
Plain AS,Near Cap Fraction,0.0545669309,0.0547811582,0.001869168,0.0507382482,0.0577062606
B0,Sharpe,0.0581505125,0.0608705831,0.0310976467,0.0063997157,0.1274485647
B0,Sortino,0.0299933275,0.0233268019,0.0271381732,0.0018198638,0.1220883334
B0,Max DD,0.0099966848,0.00781825,0.0060155139,0.004177,0.02646025
B0,P&L-to-MAP,1.6609571536,1.1500842375,1.7707707498,0.3187261307,9.0102521786
B0,Final PnL,1.4133242283,0.9163405,2.0161056719,0.110466,9.95143275
B0,Mean |q|,0.7598243648,0.8576617455,0.3238435377,0.1200149736,1.3707165481
B0,Near Cap Fraction,0.0031690405,0.0029553734,0.0019885219,0.0002619026,0.0094298895
B1,Sharpe,0.0134396366,0.0132871402,0.0048824912,0.0045144598,0.0260808723
B1,Sortino,0.0050988013,0.004725038,0.0017190344,0.0017501209,0.009737353
B1,Max DD,0.007877766,0.0071236948,0.0042933421,0.0015834237,0.0215421185
B1,P&L-to-MAP,0.3730067706,0.291330146,0.2837806309,0.1645737867,1.4100291246
B1,Final PnL,0.1131950604,0.1071296598,0.0266470626,0.0837716585,0.2021407507
B1,Mean |q|,0.3762287776,0.3884076448,0.1135195642,0.1105213327,0.5096358746
B1,Near Cap Fraction,0.0,0.0,0.0,0.0,0.0
B2,Sharpe,0.0202631249,0.0183108382,0.0113408799,0.0050483314,0.0379539286
B2,Sortino,0.0060216517,0.006029448,0.0020972945,0.0030158219,0.0104851707
B2,Max DD,0.0046349172,0.0038855422,0.0033100296,0.00077,0.012026406
B2,P&L-to-MAP,2.4719472272,0.3736279881,3.5322350613,0.0965478244,8.4022193954
B2,Final PnL,0.1209127041,0.1156166649,0.046724191,0.0578075538,0.1935886196
B2,Mean |q|,0.3149436615,0.3247039045,0.2364927551,0.0207310071,0.6154611626
B2,Near Cap Fraction,0.0,0.0,0.0,0.0,0.0
B3,Sharpe,0.0232273007,0.0230176159,0.0128076221,0.0043430627,0.0387022854
B3,Sortino,0.0061395753,0.006029448,0.0023622713,0.0026321335,0.009935652
B3,Max DD,0.0043194449,0.0031445082,0.0034916159,0.00055,0.012026406
B3,P&L-to-MAP,3.5852934979,1.6105941691,3.7183638805,0.0803241542,8.4510036547
B3,Final PnL,0.1303721392,0.1599330269,0.0506555793,0.0506397732,0.1835536385
B3,Mean |q|,0.2510279011,0.099300637,0.2660787921,0.0206941336,0.6335505681
B3,Near Cap Fraction,0.0,0.0,0.0,0.0,0.0
